sku_name;price;sold;page;keyword;gmv_estimation
jambu cristal sunpride;30600;17;5;Matoa;520200
"Nanas Honi Sunpride Super Besar 1kg+ ""Promo Paket Spesial Hemat Murah"" - 1pcs";18950;100;5;Matoa;1895000
Buah Nanas Honi Sunpride Termurah | 800gr + | Enak Manis tdk gatal - 1pcs;16975;100;5;Matoa;1697500
Bisa cod promo bibit tanaman buah matoa super HOKi;20000;0;5;Matoa;0
Bibit buah Matoa manis berkualitas unggul | Buah Matoa manis;9250;0;5;Matoa;0
Bibit tanaman buah Matoa;15000;18;5;Matoa;270000
bibit pohon matoa_tanaman buah matoa super;7500;0;5;Matoa;0
Bibit Tanaman Buah Matoa Merah Cangkok-Pohon Matoa Merah Hasil Cangkok;15000;0;5;Matoa;0
Buah Nanas Honi Sunpride Super Termurah * 1-1,3kg * Manis tanpa gatal;18950;1000;5;Matoa;18950000
Buah_Mangga_Jepang_2kg;4000;0;5;Matoa;0
buah potong nanas honi;29000;30;5;Matoa;870000
Nanas Honi Sunpride Super Premium Fresh Segar (Murah Bergaransi) -+1kg - 1pcs;18850;60;5;Matoa;1131000
Buah Segar Full;338000;1;5;Matoa;338000
Buah Matoa Fresh Dari Papua ;78000;1;5;Matoa;78000
Bibit tanaman buah matoa;35000;3;5;Matoa;105000
BIBIT POHON MATOA JENIS OKULASI - CANGKOK PEMBIBITAN TBTJ15;146000;0;5;Matoa;0
Bibit Tanaman Buah Matoa Murah Berkualitas Matoa Buah Dari Papua;10000;0;5;Matoa;0
TERBAIK Terlaris Obral Bibit Tanaman Buah Matoa Merah Super Murah a;18000;0;5;Matoa;0
Fahmibibit Ready Bibit Matoa Pohon Buah Matoa Hasil Okulasi Cangkok;24000;0;5;Matoa;0
bibit matoa cangkok batang besar GB12;250000;0;5;Matoa;0
Bibit Tanaman Buah Matoa Okulasi Stek TGBU1 00222 a;21000;0;5;Matoa;0
MANIS bibit taama buah matoa super okulasi;23000;0;5;Matoa;0
bibit pohon matoa(2 meter ) siap berbuah;387000;0;5;Matoa;0
nanas honi sunpride buah;16975;100;5;Matoa;1697500
Termurah Buah Nanas Honi Sunpride * Berat 800-1.000gr - Toko Termurah - 1pcs;15975;750;5;Matoa;11981250
